N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
997,249,0.24974924774322968,TRANSITION,65536,hann,9,2,0.9049429657794676,0.43548387096774194,25.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,3,0.9657794676806084,0.43548387096774194,9.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,4,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,5,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,6,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,7,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,8,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,9,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hann,9,10,0.973384030418251,0.43548387096774194,7.0,140.0,108.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,2,0.9163498098859315,0.45161290322580644,22.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,3,0.973384030418251,0.45161290322580644,7.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,4,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,5,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,6,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,7,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,8,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,9,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,hamming,9,10,0.9809885931558935,0.45161290322580644,5.0,136.0,112.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,2,0.8517110266159695,0.3951612903225806,39.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,3,0.9429657794676806,0.3951612903225806,15.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,4,0.9657794676806084,0.3951612903225806,9.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,5,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,6,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,7,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,8,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,9,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,65536,blackman,9,10,0.973384030418251,0.3951612903225806,7.0,150.0,98.0
997,249,0.24974924774322968,TRANSITION,131072,hann,9,2,0.8133333333333334,0.6532258064516129,98.0,86.0,162.0
997,249,0.24974924774322968,TRANSITION,131072,hann,9,3,0.96,0.6532258064516129,21.0,86.0,162.0
997,249,0.24974924774322968,TRANSITION,131072,hann,9,4,0.9828571428571429,0.6532258064516129,9.0,86.0,162.0
