source,target,weight
0,1,0.7977
0,2,0.9453
0,3,0.9641
0,4,0.9234
0,5,0.9742
0,6,0.9641
0,7,0.7871
0,8,0.9641
0,9,0.9146
0,10,0.9641
0,11,0.9641
0,12,0.9641
0,13,0.9641
0,14,0.9648
0,15,0.9648
0,16,0.9648
0,17,0.9648
0,18,0.9648
0,19,0.8216
0,20,0.8951
0,21,0.7598
0,22,0.9654
0,23,0.4592
0,24,0.8234
0,26,0.8623
0,27,0.9641
0,28,0.8623
0,29,0.9641
0,30,0.9641
0,31,0.9641
0,32,0.9641
0,33,0.8623
0,34,0.9641
0,36,0.9641
0,37,0.8623
0,38,0.9641
0,39,0.9641
0,40,0.8623
0,41,0.5566
0,42,0.9641
0,43,0.9641
0,44,0.8623
0,45,0.6544
0,46,0.6544
0,47,0.9404
0,48,0.6544
0,49,0.6544
0,50,0.9404
0,51,0.6544
0,52,0.9404
0,53,0.6544
0,54,0.6047
0,55,0.6047
0,56,0.8267
0,58,0.9641
0,59,0.9641
0,60,0.9641
0,61,0.9641
0,62,0.6817
0,63,0.9641
0,64,0.9641
0,65,0.9641
0,66,0.9641
0,67,0.9641
0,68,0.9641
0,69,0.9641
0,70,0.6817
0,71,0.9641
0,72,0.9641
0,73,0.9641
1,2,0.7501
1,3,0.7650
1,4,0.8207
1,5,0.7422
1,6,0.7650
1,7,0.8328
1,8,0.7650
1,9,0.7257
1,10,0.7650
1,11,0.7650
1,12,0.7650
1,13,0.7650
1,14,0.8557
1,15,0.8557
1,16,0.8557
1,17,0.8557
1,18,0.8557
1,19,0.8653
1,20,0.8239
1,21,0.8481
1,22,0.7257
1,23,0.5205
1,24,0.9143
1,25,0.5914
1,26,0.7983
1,27,0.7650
1,28,0.7983
1,29,0.7650
1,30,0.7650
1,31,0.7650
1,32,0.7650
1,33,0.7983
1,34,0.7650
1,35,0.3421
1,36,0.7650
1,37,0.7983
1,38,0.7650
1,39,0.7650
1,40,0.7983
1,41,0.7361
1,42,0.7650
1,43,0.7650
1,44,0.7983
1,45,0.8434
1,46,0.8434
1,47,0.8753
1,48,0.8434
1,49,0.8434
1,50,0.8753
1,51,0.8434
1,52,0.8753
1,53,0.8434
1,54,0.7631
1,55,0.7631
1,56,0.8134
1,57,0.3761
1,58,0.7650
1,59,0.7650
1,60,0.7650
1,61,0.7650
1,62,0.5409
1,63,0.7650
1,64,0.7650
1,65,0.7650
1,66,0.7650
1,67,0.7650
1,68,0.7650
1,69,0.7650
1,70,0.7212
1,71,0.7650
1,72,0.7650
1,73,0.7650
1,74,0.2550
2,3,0.9806
2,4,0.9392
2,5,0.9513
2,6,0.9806
2,7,0.8006
2,8,0.9806
2,9,0.9923
2,10,0.9806
2,11,0.9806
2,12,0.9806
2,13,0.9806
2,14,0.9429
2,15,0.9429
2,16,0.9429
2,17,0.9429
2,18,0.9429
2,19,0.7445
2,20,0.9104
2,21,0.7728
2,22,0.9303
2,23,0.4003
2,24,0.7892
2,26,0.8771
2,27,0.9806
2,28,0.8771
2,29,0.9806
2,30,0.9806
2,31,0.9806
2,32,0.9806
2,33,0.8771
2,34,0.9806
2,36,0.9806
2,37,0.8771
2,38,0.9806
2,39,0.9806
2,40,0.8771
2,41,0.5661
2,42,0.9806
2,43,0.9806
2,44,0.8771
2,45,0.5930
2,46,0.5930
2,47,0.9013
2,48,0.5930
2,49,0.5930
2,50,0.9013
2,51,0.5930
2,52,0.9013
2,53,0.5930
2,54,0.4941
2,55,0.4941
2,56,0.8408
2,58,0.9806
2,59,0.9806
2,60,0.9806
2,61,0.9806
2,62,0.8321
2,63,0.9806
2,64,0.9806
2,65,0.9806
2,66,0.9806
2,67,0.9806
2,68,0.9806
2,69,0.9806
2,70,0.6934
2,71,0.9806
2,72,0.9806
2,73,0.9806
3,4,0.9578
3,5,0.9701
3,6,1.0000
3,7,0.8165
3,8,1.0000
3,9,0.9487
3,10,1.0000
3,11,1.0000
3,12,1.0000
3,13,1.0000
3,14,0.9615
3,15,0.9615
3,16,0.9615
3,17,0.9615
3,18,0.9615
3,19,0.7593
3,20,0.9285
3,21,0.7881
3,22,0.9487
3,23,0.4082
3,24,0.8049
3,26,0.8944
3,27,1.0000
3,28,0.8944
3,29,1.0000
3,30,1.0000
3,31,1.0000
3,32,1.0000
3,33,0.8944
3,34,1.0000
3,36,1.0000
3,37,0.8944
3,38,1.0000
3,39,1.0000
3,40,0.8944
3,41,0.5774
3,42,1.0000
3,43,1.0000
3,44,0.8944
3,45,0.6047
3,46,0.6047
3,47,0.9191
3,48,0.6047
3,49,0.6047
3,50,0.9191
3,51,0.6047
3,52,0.9191
3,53,0.6047
3,54,0.5039
3,55,0.5039
3,56,0.8575
3,58,1.0000
3,59,1.0000
3,60,1.0000
3,61,1.0000
3,62,0.7071
3,63,1.0000
3,64,1.0000
3,65,1.0000
3,66,1.0000
3,67,1.0000
3,68,1.0000
3,69,1.0000
3,70,0.7071
3,71,1.0000
3,72,1.0000
3,73,1.0000
4,5,0.9292
4,6,0.9578
4,7,0.7821
4,8,0.9578
4,9,0.9087
4,10,0.9578
4,11,0.9578
4,12,0.9578
4,13,0.9578
4,14,0.9210
4,15,0.9210
4,16,0.9210
