Id,Label,VRA_Similarity,Category,Is_VRA,Red,Green,Blue,Size
0,"vra complete paper",0.3586031746031746,VRA Documents,True,0,255,0,50.0
1,"VSRA QUANTUM CORRESPONDENCE",0.38615873015873015,VRA Documents,True,0,255,0,50.0
2,"VRA SPECTRAL FRAMEWORK",0.20876190476190476,VRA Documents,True,0,255,0,50.0
3,"README",0.1681904761904762,VRA Documents,True,0,255,0,50.0
4,"Quantum Fourier Transform Based Denoising Unitary Filtering ",0.20507936507936508,Low-Medium (0.15-0.3),False,255,215,0,18.203174603174602
5,"Modern Computer Arithmetic version 0.5.1 ",0.1923809523809524,Low-Medium (0.15-0.3),False,30,144,255,17.695238095238096
6,"Optimizing the architecture for coherent beat note acquisiti",0.16000000000000003,Low-Medium (0.15-0.3),False,30,144,255,16.400000000000002
7,"Using the Magnitude-Squared Coherence for Determining Order-",0.13333333333333336,Very Low (<0.15),False,100,149,237,15.333333333333334
8,"Optimal Preprocessing for Joint Detection and Classification",0.12000000000000001,Very Low (<0.15),False,100,149,237,14.8
9,"Sample Efficient Estimation and Recovery in Sparse FFT via I",0.11777777777777779,Very Low (<0.15),False,100,149,237,14.711111111111112
10,"A Modular Small-Signal Analysis Framework for Inverter Penet",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
11,"A discrete Fourier transform based quantum circuit for modul",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
12,"Fourier Domain Analysis performances of a RESPER probe - Amp",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
13,"GPS Multipath Detection in the Frequency Domain",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
14,"HiFAST An HI Data Calibration and Imaging Pipeline for FAST ",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
15,"KoopAGRU A Koopman-based Anomaly Detection in Time-Series us",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
16,"Modular functions and Ramanujan sums for the analysis of 1 f",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
