source,title,doi,url,pdf_url,local_pdf,year,venue,query
arxiv,"Gradient flow-based modularity maximization for community detection in
  multiplex networks",,http://arxiv.org/abs/2408.15003v2,http://arxiv.org/pdf/2408.15003v2,/home/admin/dev/VRA/Novelty/papers/Gradient_flow-based_modularity_maximization_for_community_detection_in_multiplex_networks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,The modular multiplication operator and the quantized bakers maps,,http://arxiv.org/abs/0707.2155v1,http://arxiv.org/pdf/0707.2155v1,/home/admin/dev/VRA/Novelty/papers/The_modular_multiplication_operator_and_the_quantized_bakers_maps.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"On multiplicities in length spectra of semi-arithmetic hyperbolic
  surfaces",,http://arxiv.org/abs/2507.00211v1,http://arxiv.org/pdf/2507.00211v1,/home/admin/dev/VRA/Novelty/papers/On_multiplicities_in_length_spectra_of_semi-arithmetic_hyperbolic_surfaces.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Modular Matrices as Topological Order Parameter by Gauge Symmetry
  Preserved Tensor Renormalization Approach",,http://arxiv.org/abs/1401.5557v3,http://arxiv.org/pdf/1401.5557v3,/home/admin/dev/VRA/Novelty/papers/Modular_Matrices_as_Topological_Order_Parameter_by_Gauge_Symmetry_Preserved_Tensor_Renormalization_Approach.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Meter-scale spark X-ray spectrumstatistics,,http://arxiv.org/abs/1605.05570v1,http://arxiv.org/pdf/1605.05570v1,/home/admin/dev/VRA/Novelty/papers/Meter-scale_spark_X-ray_spectrumstatistics.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Algorithmic infeasibility of community detection in higher-order
  networks",,http://arxiv.org/abs/1710.08816v1,http://arxiv.org/pdf/1710.08816v1,/home/admin/dev/VRA/Novelty/papers/Algorithmic_infeasibility_of_community_detection_in_higher-order_networks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Truncated multiplication and batch software SIMD AVX512 implementation
  for faster Montgomery multiplications and modular exponentiation",,http://arxiv.org/abs/2410.18129v1,http://arxiv.org/pdf/2410.18129v1,/home/admin/dev/VRA/Novelty/papers/Truncated_multiplication_and_batch_software_SIMD_AVX512_implementation_for_faster_Montgomery_multiplications_and_modular_exponentiation.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"New modular multiplication and division algorithms based on continued
  fraction expansion",,http://arxiv.org/abs/1303.3445v1,http://arxiv.org/pdf/1303.3445v1,/home/admin/dev/VRA/Novelty/papers/New_modular_multiplication_and_division_algorithms_based_on_continued_fraction_expansion.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Measurement-based uncomputation of quantum circuits for modular
  arithmetic",,http://arxiv.org/abs/2407.20167v1,http://arxiv.org/pdf/2407.20167v1,/home/admin/dev/VRA/Novelty/papers/Measurement-based_uncomputation_of_quantum_circuits_for_modular_arithmetic.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Multiple phases in modularity-based community detection,,http://arxiv.org/abs/1506.04506v1,http://arxiv.org/pdf/1506.04506v1,/home/admin/dev/VRA/Novelty/papers/Multiple_phases_in_modularity-based_community_detection.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Attention-Bayesian Hybrid Approach to Modular Multiple Particle Tracking,,http://arxiv.org/abs/2506.09441v1,http://arxiv.org/pdf/2506.09441v1,/home/admin/dev/VRA/Novelty/papers/Attention-Bayesian_Hybrid_Approach_to_Modular_Multiple_Particle_Tracking.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Constant-Optimized Quantum Circuits for Modular Multiplication and
  Exponentiation",,http://arxiv.org/abs/1202.6614v3,http://arxiv.org/pdf/1202.6614v3,/home/admin/dev/VRA/Novelty/papers/Constant-Optimized_Quantum_Circuits_for_Modular_Multiplication_and_Exponentiation.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Optimized circuits for windowed modular arithmetic with applications to
  quantum attacks against RSA",,http://arxiv.org/abs/2502.17325v1,http://arxiv.org/pdf/2502.17325v1,/home/admin/dev/VRA/Novelty/papers/Optimized_circuits_for_windowed_modular_arithmetic_with_applications_to_quantum_attacks_against_RSA.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Unification modulo a partial theory of exponentiation,,http://arxiv.org/abs/1012.4891v1,http://arxiv.org/pdf/1012.4891v1,/home/admin/dev/VRA/Novelty/papers/Unification_modulo_a_partial_theory_of_exponentiation.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Holographic Order from Modular Chaos,,http://arxiv.org/abs/1912.02810v1,http://arxiv.org/pdf/1912.02810v1,/home/admin/dev/VRA/Novelty/papers/Holographic_Order_from_Modular_Chaos.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Modularity maximization as a flexible and generic framework for brain
  network exploratory analysis",,http://arxiv.org/abs/2106.15428v1,http://arxiv.org/pdf/2106.15428v1,/home/admin/dev/VRA/Novelty/papers/Modularity_maximization_as_a_flexible_and_generic_framework_for_brain_network_exploratory_analysis.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Systematic Use of Random Self-Reducibility against Physical Attacks,,http://arxiv.org/abs/2405.05193v1,http://arxiv.org/pdf/2405.05193v1,/home/admin/dev/VRA/Novelty/papers/Systematic_Use_of_Random_Self-Reducibility_against_Physical_Attacks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Correlation Functions of Classical and Quantum Artin System defined on
  Lobachevsky Plane and Scrambling Time",,http://arxiv.org/abs/1808.02132v5,http://arxiv.org/pdf/1808.02132v5,/home/admin/dev/VRA/Novelty/papers/Correlation_Functions_of_Classical_and_Quantum_Artin_System_defined_on_Lobachevsky_Plane_and_Scrambling_Time.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Non-commutative Hilbert modular symbols,,http://arxiv.org/abs/1308.4991v2,http://arxiv.org/pdf/1308.4991v2,/home/admin/dev/VRA/Novelty/papers/Non-commutative_Hilbert_modular_symbols.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Spectrum of third-order tensor perturbations induced by excited scalar
  fields",,http://arxiv.org/abs/2501.11337v2,http://arxiv.org/pdf/2501.11337v2,/home/admin/dev/VRA/Novelty/papers/Spectrum_of_third-order_tensor_perturbations_induced_by_excited_scalar_fields.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Speculative SAT Modulo SAT,,http://arxiv.org/abs/2306.17765v1,http://arxiv.org/pdf/2306.17765v1,/home/admin/dev/VRA/Novelty/papers/Speculative_SAT_Modulo_SAT.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Signal detection, modularity and the correlation between extrinsic and
  intrinsic noise in biochemical networks",,http://arxiv.org/abs/q-bio/0508027v2,http://arxiv.org/pdf/q-bio/0508027v2,/home/admin/dev/VRA/Novelty/papers/Signal_detection_modularity_and_the_correlation_between_extrinsic_and_intrinsic_noise_in_biochemical_networks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"A discrete Fourier transform based quantum circuit for modular
  multiplication in Shor's algorithm",,http://arxiv.org/abs/2503.10008v2,http://arxiv.org/pdf/2503.10008v2,/home/admin/dev/VRA/Novelty/papers/A_discrete_Fourier_transform_based_quantum_circuit_for_modular_multiplication_in_Shor_s_algorithm.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Windowed quantum arithmetic,,http://arxiv.org/abs/1905.07682v1,http://arxiv.org/pdf/1905.07682v1,/home/admin/dev/VRA/Novelty/papers/Windowed_quantum_arithmetic.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Black holes from CFT: Universality of correlators at large c,,http://arxiv.org/abs/1706.00771v2,http://arxiv.org/pdf/1706.00771v2,/home/admin/dev/VRA/Novelty/papers/Black_holes_from_CFT_Universality_of_correlators_at_large_c.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Modular Debiasing: A Robust Method for Quantum Randomness Extraction,,http://arxiv.org/abs/2504.18585v2,http://arxiv.org/pdf/2504.18585v2,/home/admin/dev/VRA/Novelty/papers/Modular_Debiasing_A_Robust_Method_for_Quantum_Randomness_Extraction.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Identities between Modular Graph Forms,,http://arxiv.org/abs/1603.00839v4,http://arxiv.org/pdf/1603.00839v4,/home/admin/dev/VRA/Novelty/papers/Identities_between_Modular_Graph_Forms.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Detection Thresholds and Bias Correction in Polarized Intensity,,http://arxiv.org/abs/1106.5362v1,http://arxiv.org/pdf/1106.5362v1,/home/admin/dev/VRA/Novelty/papers/Detection_Thresholds_and_Bias_Correction_in_Polarized_Intensity.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Spectrum and Energy Efficient Multiple Access for Detection in Wireless
  Sensor Networks",,http://arxiv.org/abs/1809.08468v1,http://arxiv.org/pdf/1809.08468v1,/home/admin/dev/VRA/Novelty/papers/Spectrum_and_Energy_Efficient_Multiple_Access_for_Detection_in_Wireless_Sensor_Networks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"On a class of Feynman integrals evaluating to iterated integrals of
  modular forms",,http://arxiv.org/abs/1807.01007v1,http://arxiv.org/pdf/1807.01007v1,/home/admin/dev/VRA/Novelty/papers/On_a_class_of_Feynman_integrals_evaluating_to_iterated_integrals_of_modular_forms.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,The kernel of the modular representation and the Galois action in RCFT,,http://arxiv.org/abs/math/0102149v2,http://arxiv.org/pdf/math/0102149v2,/home/admin/dev/VRA/Novelty/papers/The_kernel_of_the_modular_representation_and_the_Galois_action_in_RCFT.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"The $\mathbb C$-motivic Adams-Novikov spectral sequence for topological
  modular forms",,http://arxiv.org/abs/2302.09123v1,http://arxiv.org/pdf/2302.09123v1,/home/admin/dev/VRA/Novelty/papers/The_mathbb_C_-motivic_Adams-Novikov_spectral_sequence_for_topological_modular_forms.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Fourier series of modular graph functions,,http://arxiv.org/abs/1708.07998v2,http://arxiv.org/pdf/1708.07998v2,/home/admin/dev/VRA/Novelty/papers/Fourier_series_of_modular_graph_functions.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Community detection in directed acyclic graphs,,http://arxiv.org/abs/1503.05641v2,http://arxiv.org/pdf/1503.05641v2,/home/admin/dev/VRA/Novelty/papers/Community_detection_in_directed_acyclic_graphs.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Efficient Modular Arithmetic for SIMD Devices,,http://arxiv.org/abs/1310.3809v1,http://arxiv.org/pdf/1310.3809v1,/home/admin/dev/VRA/Novelty/papers/Efficient_Modular_Arithmetic_for_SIMD_Devices.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Theta operators, Goss polynomials, and v-adic modular forms",,http://arxiv.org/abs/1605.04235v3,http://arxiv.org/pdf/1605.04235v3,/home/admin/dev/VRA/Novelty/papers/Theta_operators_Goss_polynomials_and_v-adic_modular_forms.pdf,,,multiplicative order detection spectrum modular exponentiation
