source,title,doi,url,pdf_url,local_pdf,year,venue,query,abstract
arxiv,Geometry and arithmetic of semi-arithmetic Fuchsian groups,,http://arxiv.org/abs/2310.13151v3,http://arxiv.org/pdf/2310.13151v3,/home/admin/dev/VRA/Novelty/math_search/papers/Geometry_and_arithmetic_of_semi-arithmetic_Fuchsian_groups.pdf,,,complex phase embedding modular arithmetic sequences,"Semi-arithmetic Fuchsian groups is a wide class of discrete groups of
isometries of the hyperbolic plane which includes arithmetic Fuchsian groups,
hyperbolic triangle groups, groups admitting a modular embedding, and others.
We introduce a new geometric invariant of a semi-arithmetic group called
stretch. Its definition is based on the notion of the Riemannian center of mass
developed by Karcher and collaborators. We show that there exist only finitely
many conjugacy classes of semi-arithmetic groups with bounded arithmetic
dimension, stretch and coarea. The proof of this result uses the arithmetic
Margulis lemma. We also show that when stretch is not bounded there exist
infinite sequences of such groups."
arxiv,"Natural Wave Numbers, Natural Wave Co-numbers, and the Computation of
  the Primes",,http://arxiv.org/abs/2209.09313v1,http://arxiv.org/pdf/2209.09313v1,/home/admin/dev/VRA/Novelty/math_search/papers/Natural_Wave_Numbers_Natural_Wave_Co-numbers_and_the_Computation_of_the_Primes.pdf,,,complex phase embedding modular arithmetic sequences,"The paper exploits an isomorphism between the natural numbers N and a space U
of periodic sequences of the roots of unity in constructing a recursive
procedure for representing and computing the prime numbers. The nth wave number
${\bf u}_n$ is the countable sequence of the nth roots of unity having
frequencies k/n for all integer phases k. The space U is closed under a
commutative and associative binary operation ${\bf u}_m \odot{\bf u}_n={\bf
u}_{mn}$, termed the circular product, and is isomorphic with N under their
respective product operators. Functions are defined on U that partition wave
numbers into two complementary sequences, of which the co-number $ {\overset
{\bf \ast }{ \bf u}}_n$ is a function of a wave number in which zeros replace
its positive roots of unity. The recursive procedure $ {\overset {\bf \ast }{
\bf U}}_{N+1}= {\overset {\bf \ast }{ \bf U}}_{N}\odot{\overset {\bf \ast }{\bf
u}}_{{N+1}}$ represents prime numbers explicitly in terms of preceding prime
numbers, starting with $p_1=2$, and is shown never to terminate. If ${p}_1, ...
, { p}_{N+1}$ are the first $N+1$ prime phases, then the phases in the range
$p_{N+1} \leq k &lt; p^2_{N+1}$ that are associated with the non-zero terms of $
{\overset {\bf \ast }{\bf U}}_{N}$ are, together with $ p_1, ...,p_N$, all of
the prime phases less than $p^2_{N+1}$. When applied with all of the primes
identified at the previous step, the recursive procedure identifies
approximately $7^{2(N-1)}/(2(N-1)ln7)$ primes at each iteration for $ N&gt;1$.
When the phases of wave numbers are represented in modular arithmetic, the
prime phases are representable in terms of sums of reciprocals of the initial
set of prime phases and have a relation with the zeta-function."
arxiv,"Strong Limit Multiplicity for arithmetic hyperbolic surfaces and
  $3$-manifolds",,http://arxiv.org/abs/1612.05354v3,http://arxiv.org/pdf/1612.05354v3,/home/admin/dev/VRA/Novelty/math_search/papers/Strong_Limit_Multiplicity_for_arithmetic_hyperbolic_surfaces_and_3_-manifolds.pdf,,,complex phase embedding modular arithmetic sequences,"We show that every sequence of torsion-free arithmetic congruence lattices in
$\mathrm{PGL}(2,\mathbb R)$ or $\mathrm{PGL}(2,\mathbb C)$ satisfies a strong
quantitative version of the Limit Multiplicity property. We deduce that for
$R&gt;0$ in certain range, growing linearly in the degree of the invariant trace
field, the volume of the $R$-thin part of any congruence arithmetic hyperbolic
surface or congruence arithmetic hyperbolic $3$-manifold $M$ is of order at
most $\mathrm{Vol}(M)^{11/12}$. As an application we prove Gelander's
conjecture on homotopy type of arithmetic hyperbolic $3$-manifolds: We show
that there are constants $A,B$ such that every such manifold $M$ is homotopy
equivalent to a simplicial complex with at most $A\mathrm{Vol}(M)$ vertices,
all of degrees bounded by $B$."
arxiv,Sidon sequences and nonpositive curvarture,,http://arxiv.org/abs/2309.14524v1,http://arxiv.org/pdf/2309.14524v1,/home/admin/dev/VRA/Novelty/math_search/papers/Sidon_sequences_and_nonpositive_curvarture.pdf,,,complex phase embedding modular arithmetic sequences,"A sequence $a_0&lt;a_1&lt;\ldots&lt;a_n$ of nonnegative integers is called a Sidon
sequence if the sums of pairs $a_i+a_j$ are all different. In this paper we
construct CAT(0) groups and spaces from Sidon sequences. The arithmetic
condition of Sidon is shown to be equivalent to nonpositive curvature, and the
number of ways to represent an integer as an alternating sum of triples
$a_i-a_j+a_k$ of integers from the Sidon sequence, is shown to determine the
structure of the space of embedded flat planes in the associated CAT(0)
complex."
arxiv,"Characterizing infinite torsion subgroups of the circle through
  arithmetic-type sequences",,http://arxiv.org/abs/2506.15257v1,http://arxiv.org/pdf/2506.15257v1,/home/admin/dev/VRA/Novelty/math_search/papers/Characterizing_infinite_torsion_subgroups_of_the_circle_through_arithmetic-type_sequences.pdf,,,complex phase embedding modular arithmetic sequences,"In a recent work [Das et al., Bull. Sci. Math. 199 (2025), 103580], the
structure of characterized subgroups corresponding to arithmetic-type sequences
was investigated. Building upon this work, we further show that a characterized
subgroup associated with an arithmetic-type sequence is countable if and only
if it is torsion. Further we prove that any infinite torsion subgroup of the
circle can be characterized by an arithmetic-type sequence with bounded ratio.
Moreover, our findings demonstrate that the dichotomy observed in Eggleston's
theorem [Theorem 16, Eggleston, Proc. Lond. Math. Soc. 54(2) (1952), 42--93]
for arithmetic sequences does not extend, in general, to the broader class of
arithmetic-type sequences."
crossref,On Other Two Representations of the C-Recursive Integer Sequences by Terms in Modular Arithmetic,10.2139/ssrn.4915234,https://doi.org/10.2139/ssrn.4915234,,,2024,,complex phase embedding modular arithmetic sequences,
crossref,"Notes on Prime Numbers, Their Numerical Statistics &amp; Patterns II: Modular Arithmetic and the Symmetric Triangular Embedding Model",10.2139/ssrn.2716918,https://doi.org/10.2139/ssrn.2716918,,,2016,SSRN Electronic Journal,complex phase embedding modular arithmetic sequences,
crossref,TransModE: Translational Knowledge Graph Embedding Using Modular Arithmetic,10.1016/j.procs.2022.09.171,https://doi.org/10.1016/j.procs.2022.09.171,,,2022,Procedia Computer Science,complex phase embedding modular arithmetic sequences,
crossref,Modular Arithmetic,10.1007/springerreference_362,https://doi.org/10.1007/springerreference_362,,,,SpringerReference,complex phase embedding modular arithmetic sequences,
crossref,Modular arithmetic and the FFT,10.1017/cbo9780511921698.003,https://doi.org/10.1017/cbo9780511921698.003,,,2010,Modern Computer Arithmetic,complex phase embedding modular arithmetic sequences,
